,Crystal_Structure,Mohs_Hardness,Diaphaneity,Specific_Gravity,Optical,Refractive_Index,Dispersion,Molar_Mass,Molar_Volume,Calculated_Density
0,5.0,4.5,0.0,3.24,3.0,1.58,0.0,817.3390019999998,0.12338990999999998,5.497999999999998
1,4.0,2.75,3.0,3.446,3.0,1.592,0.0,435.06933,0.05608330000000001,6.439
2,5.0,2.0,3.0,4.42,3.0,2.085,0.0,921.09222,0.1226312,6.234
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0199,0.03365786,13.563
4,2.0,5.5,2.0,1.05,4.0,1.634,0.0,861.1853679999998,0.1120738,6.377999999999999
5,2.0,3.5,3.0,3.295,4.0,1.457,0.0,225.618151,0.04488729,4.172
6,3.0,3.5,0.0,4.4,4.0,1.742,0.0,270.70713,0.05602542,4.01
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.283292,0.06726,3.1010000000000004
8,2.0,2.5,0.0,0.0,4.0,1.473,0.0,407.63936,0.30261434,1.118
9,2.0,6.0,1.0,3.55,4.0,1.776,0.0,154.920468,0.03363099,3.823
10,1.0,5.5,1.0,3.81,4.0,1.829,0.0,1110.587536,0.22418233,4.112
11,2.0,3.0,2.0,2.48,4.0,3.383,0.0,706.631179,0.12324157999999998,4.759
12,5.0,4.0,1.0,5.9,0.0,0.0,0.0,331.22758,0.04482338,6.132999999999999
13,5.0,3.5,3.0,2.6,3.0,1.526,0.0,1839.871467,0.22444096,6.8039999999999985
14,2.0,3.5,2.0,2.63,4.0,1.624,0.0,2712.51136,0.627796,3.5860000000000003
15,1.0,5.5,2.0,2.88,4.0,1.5759999999999998,0.0,922.559878,0.2466529,3.104
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1497.1929000000002,0.12352829999999998,10.06
17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,221.68216,0.10084299,1.825
18,1.0,2.0,2.0,2.96,4.0,1.591,0.0,2011.923656,0.42597816,3.92
19,2.0,0.0,2.0,3.52,0.0,0.0,0.0,214.16812,0.08945818,1.987
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0359490000002,0.22407114,2.497
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.95015700000005,0.05602396999999999,2.162
22,4.0,5.5,2.0,2.944,3.0,1.636,0.0,196.3137,0.033647090000000004,4.843
23,5.0,0.0,1.0,4.78,3.0,0.0,0.0,70.93745,0.01120335,5.255
24,5.0,0.0,3.0,3.81,0.0,0.0,0.0,68.3899,0.0112221,5.058
25,2.0,2.0,2.0,0.0,0.0,0.0,0.0,373.77934000000016,0.044891150000000005,6.9110000000000005
26,3.0,2.5,2.0,0.0,4.0,0.0,0.0,338.2378,0.07855634,3.574
27,2.0,4.5,2.0,6.49,4.0,1.959,0.0,865.8504999999999,0.11205119999999999,6.414
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.901929,0.02241509,4.958
29,1.0,6.25,2.0,2.625,4.0,1.535,0.0,411.33112399999993,0.08970606,3.806
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3628.925846,0.5605646099999999,5.372999999999998
31,5.0,5.0,3.0,4.765,3.0,1.7,0.0,389.078662,0.0447132,7.222
32,2.0,4.5,0.0,3.885,4.0,1.773,0.0,426.70339,0.0448985,7.888
33,2.0,3.0,2.0,2.562,4.0,1.695,0.0,597.542341,0.08981524,5.522
34,2.0,5.5,2.0,4.055,4.0,1.776,0.0,431.208653,0.05608931,6.381
35,5.0,5.5,3.0,0.0,3.0,1.625,0.0,1415.739624,0.235479,4.99
36,2.0,5.25,2.0,3.45,4.0,1.806,0.0,447.574378,0.06731054,5.519
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.255537,0.033712910000000006,7.614
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.289926,0.2019884,5.351
39,3.0,0.0,0.0,0.0,0.0,0.0,0.0,282.864067,0.112056,2.095
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154.3916870000007,0.35882979,7.296
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.089411,0.10066339,3.991
42,6.0,2.25,3.0,1.757,2.0,1.453,0.0,198.173999,0.11208809,1.467
43,2.0,1.5,1.0,1.74,4.0,1.464,0.0,344.162998,0.36975638,0.773
44,5.0,3.75,2.0,2.75,3.0,1.582,0.0,162.143439,0.04485609,3.0
45,1.0,1.75,3.0,1.745,4.0,1.476,0.0,648.413358,0.6722951799999999,0.8009999999999999
46,1.0,1.67,3.0,2.238,4.0,1.578,0.0,445.92756,0.33612298,1.101
47,1.0,5.75,0.0,3.045,4.0,1.596,0.0,172.88343999999995,0.04485198,3.199
48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,171.45032799999996,0.12324897,1.155
49,1.0,2.75,2.0,2.77,4.0,1.604,0.0,824.0401099999998,0.29144029999999993,2.347
50,2.0,0.0,3.0,2.18,4.0,1.49,0.0,372.277346,0.08975368,3.443
51,2.0,3.5,1.0,3.94,4.0,1.868,0.0,869.4685959999997,0.06745038000000002,10.699000000000002
